Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
C7_03620C_A,SSN3,0.7809200285262385,0.8850478072024419,0.1292089799217834,0.296865509966634,0.0013241229656671754,0.017807265610520574,0.23435900597475837,0.4346973767699205,0.0
C7_03620C_A,HOG1,0.2565322912007462,0.4471981833094089,0.13976604710974744,0.3090601323412725,0.1242884260669702,0.2504988381040482,0.053962554765020515,0.21321286965887773,0.0
C7_03620C_A,FGR15,0.0025872319949711326,0.02745792700750413,0.34172397118592157,0.5061383346810349,0.002397879015902246,0.02199203346302934,0.19856170722524377,0.4211486743994494,0.0
C7_03620C_A,SSK1,0.9495637032481457,0.9683297843400063,0.5197154272543808,0.6688141154011293,0.5263151129657199,0.6451072387761644,0.6601284215312722,0.7775425676534351,0.0
C7_03620C_A,C1_12120W_A,0.375804478707778,0.5656719437523151,,,,,0.375804478707778,0.5602673649098753,0.0
C7_03620C_A,TPK1,0.6588121310261823,0.81718043175363,0.16675942379571101,0.33913901013997233,0.3004077016955371,0.4452024544002021,0.27484225212592667,0.4691139849709984,0.0
C7_03620C_A,PTC1,0.9574752061125387,0.9721645033949854,0.7641052211627819,0.8651287479992074,0.713005213344532,0.798810998331553,0.8053276067159841,0.880875170947573,0.0
C7_03620C_A,MSN4,0.7277139598249449,0.8553539937805731,0.11338309745648405,0.2844759049317303,0.034835138473727933,0.1144583121279632,0.5305062410179278,0.6822131328840816,0.0
C7_03620C_A,TPS2,0.07612711490540408,0.2059850193704666,0.24143280634130299,0.4161082090187102,0.07063851074684821,0.1790004528216229,0.30046068885241517,0.4933475507355529,0.0
C7_03620C_A,HSP30,0.14792345894580786,0.30902228670460263,0.8338064770469901,0.8986792921948108,0.050149852609197354,0.14743302533982078,0.4709948482036519,0.626175551901572,0.0
C7_03620C_A,YAK1,0.8798621486515157,0.9322564039100248,,,,,0.8798621486515157,0.9248639163955967,0.0
C7_03620C_A,TYE7,0.8338163292705908,0.9096178137497355,0.21597350946916583,0.3930145477680293,0.04463682842745018,0.13851587234232557,0.5451107890548221,0.6960126007060002,0.0
C7_03620C_A,CAT1,0.5399374847445447,0.7187253349008913,0.26847134473095324,0.44179127361407666,0.07095925879118044,0.1790004528216229,0.6978977829671846,0.8029866383174556,0.0
NGS1,C7_03620C_A,0.3322770529086842,0.5277980696585196,0.08185171638989458,0.2405774014125441,0.30467946699119547,0.4476844828305451,0.1379009985575558,0.34245414641793026,0.0
NGS1,NIK1,0.7797579306232545,0.8850478072024419,,,,,0.7797579306232545,0.8654296585688263,0.0
NGS1,C7_00810W_A,0.2888664272354683,0.48710809298529945,0.004731539454562295,0.05488497058632584,0.11812946684215925,0.2405657371629389,0.06217418574497491,0.2231251627947008,0.0
NGS1,CIP1,0.4537953842414576,0.6360713218048059,0.0038858818623517502,0.050840287699102066,0.0038285286601563956,0.03118655637752397,0.2507479786967042,0.44610685165144975,0.0
NGS1,MIG1,0.18504590464048035,0.3616806317973025,0.0011754919856314897,0.027682836261621584,0.29306464129809384,0.44214941754848897,0.027568076070805317,0.15126796140703078,0.0
NGS1,SKN7,0.16177058225394067,0.3299352586681162,0.2809373255411854,0.4533060002879894,0.43345221154949864,0.5699895762037241,0.18265174301883677,0.3987561862242737,0.0
NGS1,PBS2,0.07571715380955371,0.2059850193704666,0.9436864790315678,0.962069981869845,0.18364608212328018,0.3206217691760926,0.4416112418157787,0.6036704131243213,0.0
NGS1,RHB1,0.0016827838561137638,0.020941720164203967,0.09627044497801959,0.2621004600268626,0.061644730308700074,0.16622820379794295,0.020173023233118877,0.1239497097622562,0.0
